"Story","Title","Result","Date","Stability","Duration (s)"
"Demo web shop tets","Test case1","FAILURE","2020-01-28T20:48:39.0964927+02:00[Europe/Bucharest]","0.0","15.64"
"Locator examples test","Tc1","ERROR","2020-01-28T20:49:00.3901955+02:00[Europe/Bucharest]","0.0","5.0"
"My first test","This is my first serenity test","SUCCESS","2020-01-28T20:49:05.6349422+02:00[Europe/Bucharest]","0.0","3.68"
"Check box test","Tc1","ERROR","2020-01-28T20:48:33.6913599+02:00[Europe/Bucharest]","0.0","5.17"
"Drop down test","Tc1","ERROR","2020-01-28T20:48:54.9832117+02:00[Europe/Bucharest]","0.0","5.21"
"Radio button test","Tc1","ERROR","2020-01-28T20:49:10.4330698+02:00[Europe/Bucharest]","0.0","4.67"
"Table test","Tc1","ERROR","2020-01-28T20:49:15.3389409+02:00[Europe/Bucharest]","0.0","4.81"
"Edit box test","Tc1","ERROR","2020-01-28T20:49:20.3474863+02:00[Europe/Bucharest]","0.0","5.22"
"Demo web shop test","Shopping Test","ERROR","2020-01-28T20:47:53.0391142+02:00[Europe/Bucharest]","0.0","26.49"
"Sample","Navigating to the sign in page","ERROR","2020-01-28T20:48:24.0269899+02:00[Europe/Bucharest]","0.0","9.36"
